MDI         0x02000000
MQS0        0x02005000
MQS1        0x02006000
EL11        0x02007000
EL12        0x02008000
EL11_DSM    0x02007800
EL12_DSM    0x02008800
SAP         0x02012000
D2S         0x02028000
QDMA1       0x02020000
QDMA2       0x02021000
QDMA3       0x02022000
QDMA4       0x02023000
QDMA5       0x02024000
QDMA6       0x02025000
QDMA7       0x02026000
QDMA8       0x02027000
EBIF        0x02018000
BBIF        0x0200a000
GPIO1       0x02001000
GPIO2       0x02002000
QPATCH      0x01003000
DWD         0x02009000
DEB         0x02004000
IPC         0x02029000
LEM         0x02011000
GPIF        0x02010000
QPIC1       0x01000000
QPIC2       0x01001000
QPIC3       0x01002000
